"datasheet modifications: removed spaces, special characters, and unnecessary capital letters from col names, copied and pasted in data from different channels from raw data file into this main csv.",,,,,,,,,,,,,,,,,,,,,,
Id,date,delta_T_min,sensor,calibration,user,oxygen,oxygen_unit,temp,temp_unit,pressure,pressure_unit,mode,salinity_pmil,user_signal_intensity,error,error_code,phase,amplitude_uV,reference_amplitude_uV,signal_LED_current,ref_LED_current,battery_V
1,1/12/20 16:01:05,0.354,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.097,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,"ADC overflow (Signal), Photo diode saturation",160,30.586,8738,16114.53,42.00,50.00,#N/A
5,1/12/20 16:01:08,0.404,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,-272.607,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,"ADC overflow (Signal), Photo diode saturation",160,-6.825,6758,12150.76,42.00,50.00,#N/A
9,1/12/20 16:01:11,0.453,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,11.933,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,"ADC overflow (Signal), Photo diode saturation",160,27.592,7513,14715.85,42.00,50.00,#N/A
13,1/12/20 16:01:14,0.504,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.360,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,"ADC overflow (Signal), Photo diode saturation",160,30.263,17384,30944.41,42.00,50.00,#N/A
17,1/12/20 16:01:17,0.554,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.214,ppm (mg/L),10.480,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.438,14786,36139.67,42.00,50.00,#N/A
21,1/12/20 16:01:20,0.604,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.276,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.365,16932,30603.81,42.00,50.00,#N/A
25,1/12/20 16:01:23,0.654,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.432,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.177,17093,32406.97,42.00,50.00,#N/A
29,1/12/20 16:01:26,0.704,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.438,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.170,18523,32701.99,42.00,50.00,#N/A
33,1/12/20 16:01:29,0.753,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.398,ppm (mg/L),10.468,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.221,16247,33672.87,42.00,50.00,#N/A
37,1/12/20 16:01:32,0.804,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.351,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.275,17214,33196.17,42.00,50.00,#N/A
41,1/12/20 16:01:35,0.854,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.360,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.263,18439,30302.08,42.00,50.00,#N/A
45,1/12/20 16:01:38,0.904,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.381,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.238,15641,33000.01,42.00,50.00,#N/A
49,1/12/20 16:01:41,0.954,Batch 3 (PSt3),1/12/20 15:46:00,Framsted,9.262,ppm (mg/L),10.474,°C,1018.000,hPa,Humid,0,0,ADC overflow (Signal),128,30.383,18559,33125.95,42.00,50.00,#N/A
