chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,foil_wt_g,foil_SA_cm2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
Chamber 1,2375,5210,NA,2835,2.835,NA,1,51.557,0.1744,0.0884,0.6147,5.845,13,0.786,2.463,2.1469,2.1238,1.3609,1.3378,28.48717877,0.483543118,9.75,8.8,4,0.011825093,0.5221,93.6224499,33.9386518645626,-12.1469945330879,46.0856463976505,10C,10,95.3082459083835,70.18743644814442,-25.120809460239077,3897.2755983949132,2870.0536955237985,-1027.221902871115,enriched
Chamber 2,1988,4978,NA,2990,2.99,NA,3,14.94,0.0507,0.1028,0.6336,5.8243,12,0.7956,3.0313,2.089,2.0601,1.2934,1.2645,6.374623429,0.142435919,7.7,4.2,4.7,0.006300919,0.2035,36.4914165,41.1108290784771,-15.4073987617491,56.5182278402262,13C,13,396.7975791290833,288.6268391224906,-108.17074000659272,8969.83881878599,6524.576665479607,-2445.2621533063825,enriched
Chamber 3,2159,5078,NA,2919,2.919,NA,3,38.888,0.0932,0.1405,0.5311,5.0209,11,0.8097,2.6929,2.2663,2.2442,1.4566,1.4345,21.03466924,0.319144714,7.4,9.2,4.6,0.010403278,0.3652,65.4872988,45.8565281371245,-16.8053467941139,62.6618749312384,13C,13,196.34313896622584,143.68568904802385,-52.65744991820199,6023.28178976265,4407.892217926359,-1615.3895718362903,enriched
Chamber 4,2525,5259,NA,2734,2.734,NA,3,43.745,0.0496,0.1155,0.501,5.148,10,0.8047,3.8588,2.5539,2.5146,1.7492,1.7099,19.82967607,0.445521535,9.5,11.75,6.7,0.01811616,0.5239,93.9452241,71.3760479606442,-23.6133790962414,94.9894270568856,13C,13,213.2095074975121,160.2078515927276,-53.001655904784485,5243.353285513354,3939.910442425117,-1303.4428430882372,enriched
Chamber 5,2203,5131,NA,2928,2.928,NA,2,25.386,0.043,0.0891,0.611,5.48,9,0.7934,3.9589,2.9101,2.8641,2.1167,2.0707,13.57310015,0.294969815,11.8,6,5,0.01156687,0.284,50.926596,22.2088827205533,-15.8248445578591,38.0337272784124,7C,7,128.94108259318804,75.29205224118712,-53.64903035200093,3288.1606932914783,1920.0425629883712,-1368.1181303031071,enriched
Chamber 6,2264,5127,NA,2863,2.863,NA,2,33.571,0.0368,0.1014,0.3987,7.5197,8,0.7946,2.9064,2.4099,2.3832,1.6153,1.5886,18.65787101,0.308404108,6.6,9.5,5.2,0.010447311,0.3941,70.6696179,24.531905189842,-17.2683843474371,41.8002895372791,7C,7,135.53739542690883,79.54467710865252,-55.992718318256316,4001.0572612683873,2348.154964453724,-1652.9022968146633,enriched
Chamber 7,2235,5129,NA,2894,2.894,NA,2,31.264,0.0428,0.0894,0.7014,5.1021,7,0.8043,3.2748,2.6882,2.6521,1.8839,1.8478,17.98529669,0.344641016,6.8,7.9,5,0.009027461,0.3236,58.0276284,24.0133830249459,-16.2239499978181,40.237333022764,7C,7,116.75143454998403,69.67650949864277,-47.074925051341246,4457.214827376601,2660.0373045029933,-1797.1775228736074,enriched
Chamber 8,1996,4979,NA,2983,2.983,NA,1,27.413,0.0846,0.0886,0.5119,5.3629,6,0.8113,2.3808,1.9927,1.9717,1.1814,1.1604,13.60287223,0.241798135,8,4.6,4.5,0.00667376,0.2693,48.2906067,51.6645539312522,-20.272520388897,71.93707432014921,10C,10,297.50880551725186,213.66812416171945,-83.84068135553238,10779.092193928042,7741.446190940669,-3037.6460029873715,enriched
Chamber 9,2032,5015,NA,2983,2.983,NA,1,25.224,0.0734,0.1401,0.4834,5.7155,5,0.7993,3.343,2.4955,2.4641,1.6962,1.6648,12.79836937,0.236923003,7.5,6.4,4.6,0.007956287,0.2632,47.1967608,25.2789917571504,-12.5419448357985,37.8209365929489,10C,10,159.63387308976874,106.69707642170313,-52.93679666806562,4753.59129113227,3177.23477762308,-1576.356513509191,enriched
Chamber 10,2350,5217,NA,2867,2.867,NA,3,28.836,0.0697,0.0947,0.461,4.7384,4,0.8089,2.336,2.0367,2.0115,1.2278,1.2026,15.15618185,0.311073288,9.8,8.5,4.4,0.011958724,NA,NA,59.3968515124166,-23.4250219192272,82.82187343164381,13C,13,266.24553321223715,190.94166488643216,-75.30386832580494,6925.644695173482,4966.821837548605,-1958.8228576248769,enriched
