chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,percent_cover
1,2746,5460,,2714,2.714,,3,30.4,0.0285,0.1205,0.7806,5.6654,1,0.8064,3.1664,1.993,1.9452,1.1866,1.1388,11.39231935,0.458918646,11.5,11,5,0.017601317,50
2,2455,5272,,2817,2.817,,1,22.774,0.0418,0.1069,0.7247,5.0195,2,0.7978,3.077,1.543,1.497,0.7452,0.6992,5.515497173,0.340462788,10.75,6,7.25,0.013251864,60
3,2869,5595,,2726,2.726,,4,12.935,0.0456,0.1089,0.7472,5.156,3,0.8001,3.331,1.952,1.887,1.1519,1.0869,4.473079105,0.252409186,9.5,9,7.75,0.016095306,
4,2595,5331,,2736,2.736,,2,42.414,0.0591,0.1183,0.8422,5.2502,4,0.8011,3.1341,2.069,2.027,1.2679,1.2259,17.1585816,0.568389011,10,9.25,4.5,0.013115778,75
5,2837,5517,,2680,2.68,,4,44.929,0.0804,0.1361,0.8809,5.095,5,0.8024,3.6018,2.837,2.796,2.0346,1.9936,25.37968333,0.511435671,10,9.5,6.5,0.015746143,75
6,2774,5513,,2739,2.739,,1,27.251,0.0857,0.1046,0.8917,5.0719,6,0.8034,3.5128,1.518,1.455,0.7146,0.6516,5.543601856,0.488730642,12.5,3.75,6.25,0.01104649,75
7,2385,5263,,2878,2.878,,4,32.835,0.0644,0.0911,0.7297,5.1207,7,0.8013,4.6307,3.225,3.177,2.4237,2.3757,17.18577958,0.34035459,10.5,9,3.75,0.012567151,50
8,2032,5049,,3017,3.017,,3,22.109,0.0608,0.0982,0.6348,5.0873,8,0.7991,3.1076,2.073,2.032,1.2739,1.2329,9.063153269,0.291694233,7.5,7.25,3.5,0.007748686,50
9,2564,5378,,2814,2.814,,1,25.403,0.0529,0.1123,0.6862,4.9957,9,0.8065,3.0511,1.527,1.47,0.7205,0.6635,5.998774704,0.474573433,12,8,6.5,0.016131767,80
10,2737,5439,,2702,2.702,,4,46.382,0.0506,0.1395,0.7641,5.1495,10,0.8156,4.9706,2.831,2.751,2.0154,1.9354,18.80623723,0.746501428,14,10,6.75,0.021742777,50
11,2546,5356,,2810,2.81,,1,33.563,0.09,0.163,0.9008,6.1675,11,0.8118,3.1088,2.503,2.467,1.6912,1.6552,18.25841019,0.388660576,10,10.25,6,0.016035587,75
12,2291,5200,,2909,2.909,,3,14.709,0.0647,0.1164,0.6014,5.1415,12,0.8026,3.1853,1.382,1.321,0.5794,0.5184,2.67553907,0.2816843,9,6.75,7.25,0.012325629,
13,2684,5433,,2749,2.749,,2,27.304,0.0613,0.0915,0.6356,5.075,13,0.8068,4.0663,1.927,1.861,1.1202,1.0542,7.52181118,0.44317045,12,10.5,6.75,0.019878793,75
14,2262,5159,,2897,2.897,,3,22.552,0.0489,0.1153,0.6613,5.3394,14,0.7867,3.0557,1.941,1.896,1.1543,1.1093,8.519086821,0.332113755,11,7,4,0.010970153,75
15,2428,5301,,2873,2.873,,2,20.166,0.0568,0.11,0.8526,6.3861,15,0.8048,3.0333,1.473,1.408,0.6682,0.6032,4.442330531,0.43213332,11.5,7.5,6,0.014322191,70
16,2156,5090,,2934,2.934,,2,32.956,0.0429,0.0999,0.8124,5.7181,16,0.7988,3.9282,2.059,1.988,1.2602,1.1892,10.57256535,0.595661117,6.5,7.75,6.25,0.009807548,75
