"PreSens Measurement Studio 2","3.0.3.1703",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"06/15/2021","18:53:44","1","Framsted","125448721","Batch 3_1_1","0.000","min","6.811","ppm (mg/L)","Humid","28.688","deg","30398","µV","23.044","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48887.97","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:53:44","4","Framsted","141697176","Batch 3_1_1_3","0.000","min","6.829","ppm (mg/L)","Humid","28.660","deg","20935","µV","23.044","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49300.18","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:44","2","Framsted","190253489","Batch 3_1_1_1","0.000","min","6.683","ppm (mg/L)","Humid","28.897","deg","24559","µV","23.044","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49374.65","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:44","3","Framsted","175401527","Batch 3_1_1_2","0.000","min","6.461","ppm (mg/L)","Humid","29.268","deg","15708","µV","23.044","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48571.37","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:47","1","Framsted","125448721","Batch 3_1_1","0.050","min","6.814","ppm (mg/L)","Humid","28.681","deg","30400","µV","23.050","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48896.43","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:53:47","4","Framsted","141697176","Batch 3_1_1_3","0.050","min","6.831","ppm (mg/L)","Humid","28.655","deg","20935","µV","23.050","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49296.91","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:47","2","Framsted","190253489","Batch 3_1_1_1","0.050","min","6.684","ppm (mg/L)","Humid","28.892","deg","24556","µV","23.050","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49376.82","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:47","3","Framsted","175401527","Batch 3_1_1_2","0.050","min","6.449","ppm (mg/L)","Humid","29.287","deg","15710","µV","23.050","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48578.97","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:50","1","Framsted","125448721","Batch 3_1_1","0.100","min","6.799","ppm (mg/L)","Humid","28.694","deg","30399","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48892.82","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:53:50","4","Framsted","141697176","Batch 3_1_1_3","0.100","min","6.830","ppm (mg/L)","Humid","28.645","deg","20933","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49293.92","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:50","2","Framsted","190253489","Batch 3_1_1_1","0.100","min","6.662","ppm (mg/L)","Humid","28.917","deg","24552","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49386.44","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:50","3","Framsted","175401527","Batch 3_1_1_2","0.100","min","6.436","ppm (mg/L)","Humid","29.297","deg","15712","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48576.26","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:53","1","Framsted","125448721","Batch 3_1_1","0.150","min","6.810","ppm (mg/L)","Humid","28.684","deg","30397","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48905.40","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:53:53","4","Framsted","141697176","Batch 3_1_1_3","0.150","min","6.813","ppm (mg/L)","Humid","28.679","deg","20933","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49299.98","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
