chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2659,5432,4,4,2773,2.773,NA,4.3308,0.05,0.0924,0.6343,2.0839,1,0.8099,1.1612,0.9971,0.9768,0.1872,0.1669,0.698179263,0.075710679,10.5,9.75,7,0.017300132,63.2315839917135,-31.4543026694195,94.685886661133,23.5C,23.5,1250.6278891136744,835.17391241087,-415.45397670280437,5473.130879066876,3654.97696732681,-1818.1539117400666,ambient
2,2240,5144,1,4,2904,2.904,NA,4.9002,0.0822,0.0967,0.6213,2.1076,2,0.7976,1.412,1.04,1.0116,0.2424,0.214,0.841224136,0.098559263,7.5,6.5,6.25,0.009576474,19.320071433953,-9.21191952127111,28.53199095522411,17.5C,17.5,289.4907093128741,196.02491786036387,-93.46579145251026,2979.383743455484,2017.4514580160715,-961.9322854394122,ambient
3,3414,5862,2,3,2448,2.448,NA,26.2038,0.0747,0.1261,0.652,4.9047,3,0.7928,3.5218,1.5495,1.4819,0.7567,0.6891,5.630193498,0.502974865,12,11.5,6,0.020239765,16.5631550336148,-5.81036737204181,22.37352240565661,14.5C,14.5,44.4823866211617,32.93038317852086,-11.552003442640837,1105.424020765884,818.3472008501483,-287.0768199157357,ambient
4,3385,5894,1,3,2509,2.509,NA,15.301,0.0677,0.1613,0.9915,4.0653,4,0.8011,2.0917,1.0129,0.9749,0.2118,0.1738,1.54933872,0.277973897,11.5,10,7.25,0.019229121,37.6132774147286,-16.8271716307189,54.4404490454475,17.5C,17.5,195.84734262097817,135.31226428332081,-60.53507833765737,2831.146002224829,1956.058075391413,-875.087926833416,ambient
5,2975,5602,3,2,2627,2.627,NA,27.7598,0.0462,0.1661,0.5235,5.0216,5,0.7895,3.0823,1.9848,1.9436,1.1953,1.1541,10.76510688,0.371055303,9.25,8,6.5,0.013142378,41.5312706126894,-18.0565607735669,59.5878313862563,20.5C,20.5,160.5901624487935,111.92744121134255,-48.66272123745096,4534.022030583529,3160.1031877708433,-1373.9188428126859,ambient
6,2635,5413,2,1,2778,2.778,NA,4.7795,0.0785,0.0989,0.6836,2.0975,6,0.8086,1.5808,1.0713,1.0341,0.2627,0.2255,0.79426534,0.112473052,13,10,6.25,0.019754571,27.706438535172,-8.99104334053184,36.69748187570384,14.5C,14.5,326.2779948009577,246.3384610135057,-79.93953378745195,1857.6704032552186,1402.5330408426487,-455.13736241256976,ambient
7,2650,5424,3,1,2774,2.774,NA,5.0533,0.0478,0.1113,0.7285,2.6184,7,0.7973,1.4742,1.0929,1.0581,0.2956,0.2608,1.013265147,0.119288319,11.5,9.25,6,0.016570855,37.5451047367473,-14.1051244955833,51.6502292323306,20.5C,20.5,432.9864790225655,314.74250833182833,-118.24397069073713,3116.9320612805195,2265.73129369289,-851.2007675876291,ambient
8,2955,5645,4,4,2690,2.69,NA,14.7552,0.0496,0.0819,0.5895,3.7183,8,0.814,4.6337,1.1625,1.0922,0.3485,0.2782,1.109736755,0.223857945,10,9.5,6.25,0.015438185,26.8967618515143,-14.0014608067751,40.8982226582894,23.5C,23.5,182.69721299500625,120.15102636412703,-62.54618663087924,2649.1600313307167,1742.223056111473,-906.9369752192437,ambient
9,2696,5446,1,2,2750,2.75,NA,6.4551,0.0604,0.1064,0.5647,2.2249,9,0.8124,1.6133,1.0255,0.998,0.2131,0.1856,0.85265097,0.110032387,11.5,9.5,6,0.016898529,NA,NA,NA,17.5C,17.5,NA,NA,NA,NA,NA,NA,ambient
10,3001,5655,4,2,2654,2.654,NA,9.3631,0.0757,0.0995,0.5589,3.8564,10,0.8097,2.9681,1.7629,1.7162,0.9532,0.9065,3.006942798,0.147318746,14.5,8.5,6,0.018959487,23.1860138123816,-12.6204254230469,35.8064392354285,23.5C,23.5,243.05419512210958,157.38671718249353,-85.66747793961605,1888.5763752694627,1222.92411247106,-665.6522627984027,ambient
11,2648,5437,3,3,2789,2.789,NA,5.9851,0.0439,0.1207,0.536,2.9385,11,0.7955,1.6028,1.0216,0.9893,0.2261,0.1938,0.844291933,0.120613133,9.25,8.5,7,0.014294454,28.6724493834574,-11.227813050871,39.9002624343284,20.5C,20.5,330.8119227309052,237.72244920839094,-93.08947352251433,2791.310702341509,2005.8443214030701,-785.4663809384394,ambient
12,2731,5507,2,4,2776,2.776,NA,6.05154,0.0484,0.1068,0.5667,3.0618,12,0.8026,1.652,1.1141,1.0804,0.3115,0.2778,1.14107428,0.123448485,11,8.5,6.75,0.015978039,26.7032219987276,-7.4621499392961,34.165371938023696,14.5C,14.5,276.7581306325768,216.31064973156697,-60.44748090100984,2138.270656244092,1671.2452634974543,-467.02539274663803,ambient
13,2834,5542,1,1,2708,2.708,NA,8.7071,0.0655,0.1034,0.531,3.1237,13,0.8035,3.1893,1.1441,1.0741,0.3406,0.2706,0.929871213,0.191106826,10.75,9.25,7,0.016964465,27.6164340102351,-10.9959810120491,38.612415022284196,17.5C,17.5,202.04623681146896,144.5078367333415,-57.5384000781275,2276.07619941355,1627.898905755949,-648.1772936576012,ambient
