jar,treatment,tank,treatment_C,DO_1_mg_L,DO_2_mg_L,DO_3_mg_L,time,photoperiod,temp
A7,ambient,1,22.5,6.95,6.98,6.96,9:01,initial,22.6
A37,enriched,1,22.5,6.82,6.81,6.83,,initial,22.6
A11,ambient,2,19.5,7.07,7.04,7.09,9:06,initial,19.1
A35,enriched,2,19.5,7.09,6.83,6.83,9:07,initial,19.1
A31,ambient,3,25.5,7,7.02,7.02,9:10,initial,25.3
A25,enriched,3,25.5,6.83,6.82,6.83,9:09,initial,25.3
A28,ambient,4,28.5,7.01,6.97,6.95,9:04,initial,27.5
A13,enriched,4,28.5,6.69,6.69,6.68,9:04,initial,27.5
A7,ambient,1,22.5,7,6.99,7,10:07,light,22.4
A37,enriched,1,22.5,6.87,6.92,6.87,10:07,light,22.4
A11,ambient,2,19.5,7.09,7.09,7.09,10:09,light,19
A35,enriched,2,19.5,6.88,6.88,6.88,10:09,light,19
A31,ambient,3,25.5,7.03,7.04,7.04,10:10,light,25.4
A25,enriched,3,25.5,6.83,6.81,6.82,10:11,light,25.4
A28,ambient,4,28.5,6.98,7.01,7,10:13,light,27.5
A13,enriched,4,28.5,6.65,6.62,6.63,10:12,light,27.5
A7,ambient,1,22.5,7.01,7.01,7.02,11:59,dark,22.5
A37,enriched,1,22.5,6.84,6.86,6.89,11:58,dark,22.5
A11,ambient,2,19.5,7.08,7.06,7.06,12:02,dark,19.3
A35,enriched,2,19.5,6.86,6.84,6.85,12:01,dark,19.3
A31,ambient,3,25.5,7.6,7.1,7.7,12:06,dark,25.4
A25,enriched,3,25.5,6.77,6.76,6.79,12:07,dark,25.4
A28,ambient,4,28.5,7.02,7.03,7,12:03,dark,27.8
A13,enriched,4,28.5,6.62,6.64,6.62,12:04,dark,27.8
