chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2
1,2930,5591,1,1,2661,2.661,,12.3975,0.0672,0.1151,0.8537,2.0323,1,0.7975,2.1166,0.9845,0.8863,0.187,0.0888,1.095309695,0.575184022,12.7,8.255,7.62,0.018799192
2,3073,5700,1,3,2627,2.627,,16.8668,0.0632,0.0947,0.8866,2.1198,2,0.7973,2.1294,0.9803,0.915,0.183,0.1177,1.449527754,0.51723586,11.43,11.43,6.985,0.020734662
3,2606,5391,3,1,2785,2.785,,12.8711,0.0556,0.0934,0.9898,2.096,3,0.8038,2.2342,0.9817,0.9054,0.1779,0.1016,1.024871851,0.43955999,12.065,9.525,5.08,0.016434201
4,2435,5296,2,4,2861,2.861,,10.5136,0.0572,0.0983,1.0249,2.3465,4,0.8035,2.0573,0.9635,0.8946,0.16,0.0911,0.817661984,0.352105692,7.62,8.255,4.445,0.00959992
5,2408,5282,1,2,2874,2.874,,9.7732,0.0565,0.1022,0.7337,2.4629,5,0.8053,2.2287,0.9962,0.9108,0.1909,0.1055,0.837126522,0.374492431,10.795,8.89,6.35,0.015734565
6,2435,5266,2,4,2831,2.831,,10.0853,0.0557,0.1103,0.697,2.5475,6,0.8051,2.8205,1.05,0.9314,0.2449,0.1263,0.875692243,0.424079624,9.525,8.89,5.08,0.012835685
7,2597,5382,4,1,2785,2.785,,12.3649,0.0576,0.1186,0.8218,2.3382,7,0.8029,2.6044,0.9846,0.9007,0.1817,0.0978,0.862656401,0.398331712,10.16,9.525,3.81,0.01286986
8,2605,5427,4,1,2822,2.822,,11.883,0.0397,0.1142,0.8031,2.1064,8,0.8029,2.4126,1.0013,0.9177,0.1984,0.1148,0.977197712,0.411762746,12.065,8.255,6.35,0.016348506
9,2571,5375,2,4,2804,2.804,,18.0039,0.0602,0.1002,0.8536,3.0014,9,0.8178,2.2514,0.9895,0.91,0.1717,0.0922,1.373043275,0.635742227,10.795,7.62,6.985,0.014935898
10,2685,5473,3,2,2788,2.788,,6.9381,0.0539,0.0949,0.8905,2.4316,10,0.8018,3.1796,1.15,0.9911,0.3482,0.1893,0.759795704,0.346730435,10.795,9.525,4.445,0.014250047
11,2357,5248,3,3,2891,2.891,,7.2569,0.0588,0.1253,1.179,2.0682,11,0.8054,1.8229,0.9745,0.893,0.1691,0.0876,0.67318108,0.324448598,9.525,7.62,10.16,0.017397194
12,2797,5545,1,2,2748,2.748,,13.4117,0.0528,0.1091,0.9837,2.0022,12,0.8013,2.6041,1.0188,0.9128,0.2175,0.1115,1.12017386,0.545923812,8.89,8.89,5.715,0.012856025
13,2485,5304,3,3,2819,2.819,,10.2887,0.0591,0.1236,0.9954,2.6525,13,0.8123,2.3745,1.0598,0.9366,0.2475,0.1243,1.072416614,0.533825159,10.16,8.255,5.08,0.0127829
