jar,treatment,tank,treatment,DO_1_mg_L,DO_2_mg_L,DO_3_mg_L,time,photoperiod,comments
A34,ambient,1,12.5,8.97,8.99,8.98,12:24,initial,
A13,enriched,1,12.5,9.11,9.12,9.13,12:25,initial,
A26,ambient,2,9.5,8.27,8.31,8.32,12:22,initial,
A9,enriched,2,9.5,8.45,8.52,8.51,12:21,initial,
A36,ambient,3,15.5,8.67,8.65,8.66,12:29,initial,
A18,enriched,3,15.5,8.9,8.95,8.92,12:29,initial,
A3,ambient,4,18.5,8.87,8.83,8.84,12:26,initial,
A38,enriched,4,18.5,9.08,9.07,9.02,12:26,initial,
A34,ambient,1,12.5,8.32,8.35,8.36,14:00,light,
A13,enriched,1,12.5,8.43,8.43,8.44,14:00,light,
A26,ambient,2,9.5,8.35,8.42,8.41,14:02,light,
A9,enriched,2,9.5,8.56,8.59,8.61,14:02,light,
A36,ambient,3,15.5,8.26,8.28,8.31,13:59,light,
A18,enriched,3,15.5,8.77,8.63,8.63,13:59,light,
A3,ambient,4,18.5,8.63,8.57,8.55,13:58,light,
A38,enriched,4,18.5,8.75,8.72,8.76,13:58,light,
A34,ambient,1,12.5,8.33,8.37,8.36,15:23,dark,
A13,enriched,1,12.5,8.46,8.48,8.48,15:23,dark,
A26,ambient,2,9.5,8.24,8.25,8.24,15:25,dark,
A9,enriched,2,9.5,8.45,8.48,8.48,15:25,dark,
A36,ambient,3,15.5,8.22,8.23,8.25,15:28,dark,
A18,enriched,3,15.5,8.5,8.51,8.5,15:28,dark,
A3,ambient,4,18.5,8.31,8.26,8.26,15:27,dark,
A38,enriched,4,18.5,8.48,8.47,8.46,15:26,dark,
A34,ambient,1,12.5,8.27,8.24,8.24,17:22,dark,
A13,enriched,1,12.5,8.33,8.32,8.3,17:23,dark,
A26,ambient,2,9.5,8.37,8.38,8.39,17:26,dark,
A9,enriched,2,9.5,8.52,8.55,8.55,17:25,dark,
A36,ambient,3,15.5,8.23,8.21,8.2,17:27,dark,
A18,enriched,3,15.5,8.43,8.42,8.42,17:28,dark,
A3,ambient,4,18.5,8.24,8.25,8.26,17:29,dark,
A38,enriched,4,18.5,8.43,8.44,8.43,17:30,dark,
