chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2
1,2694,5416,1,1,2722,2.722,,15.041,0.0631,0.1137,1.006,3.8213,1,0.8071,5.6200,3.015693737,0.641249751,11.5,10,6.25,0.017884047
2,2871,5530,3,2,2659,2.659,,15.1657,0.0793,0.1473,1.2656,2.5438,2,0.7916,2.2989,2.589298034,0.702573861,11,11.5,7,0.020257477
3,2719,5447,2,2,2728,2.728,,6.8972,0.0576,0.0849,0.8587,2.1938,3,0.808,2.2626,0.901397525,0.371898877,10.5,9.5,5.75,0.015412683
4,2518,5329,2,4,2811,2.811,,14.0801,0.0451,0.1049,0.7968,2.5354,4,0.7917,2.2196,2.248781515,0.663533276,7,8.5,6.5,0.011284353
5,2730,5436,2,2,2706,2.706,,11.1601,0.079,0.0946,1.1191,2.162,5,0.7971,2.9933,1.769479658,0.562982361,8,11,7,0.015658137
6,2231,5111,2,3,2880,2.88,,4.4917,0.058,0.0964,1.0135,1.3085,6,0.7987,1.4544,0.594507873,0.208154964,9.5,6.5,7,0.012279827
7,2251,5162,1,1,2911,2.911,,10.7666,0.064,0.0802,0.9839,1.9227,7,0.7928,2.2988,1.500148765,0.510041213,11,6.75,4.75,0.01147827
8,2605,5365,1,1,2760,2.76,,23.5461,0.0535,0.1186,0.764,2.6266,8,0.8038,3.1785,5.303335847,0.788944361,9.75,6.5,7,0.012531045
9,2938,5589,3,3,2651,2.651,,8.9906,0.0473,0.0828,1.053,1.7539,9,0.7938,2.5595,1.393463966,0.502658668,12,7,6.25,0.014508499
10,2914,5548,1,4,2634,2.634,,12.7664,0.0362,0.0782,0.9676,3.9512,10,0.7984,2.315,2.418722695,0.797968933,12.5,6.5,7,0.015341495
11,2233,5145,3,2,2912,2.912,,8.2747,0.0677,0.0909,1.0558,2.5833,11,0.798,2.2421,1.647115923,0.478671152,9.5,8.5,5.25,0.012563514
12,2518,5329,3,1,2811,2.811,,10.1442,0.0625,0.0806,0.8911,2.1768,12,0.8002,2.1561,1.197392932,0.621515152,8.5,6.75,6.75,0.011284878
13,2718,5404,4,4,2686,2.686,,12.3788,0.0605,0.0723,1.042,2.6221,13,0.8075,2.4316,4.086897779,0.745802846,11.5,10,5.75,0.017236225
14,2484,5298,4,3,2814,2.814,,7.4538,0.0405,0.0894,0.7933,1.8996,14,0.8086,1.8900,1.476956667,0.581711905,10,8.25,7.75,0.015764334
15,2792,5469,4,3,2677,2.677,,7.3743,0.0438,0.1238,0.9375,1.8244,15,0.7923,1.6308,1.083897296,0.416918359,11.75,10,7,0.019206287
16,2472,5298,4,4,2826,2.826,,6.6631,0.0372,0.1148,0.9094,3.104,16,0.7927,1.61,0.653894286,0.350950857,10,7.5,7.25,0.0142442
