chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2694,5416,1,1,2722,2.722,NA,15.041,0.0631,0.1137,1.006,3.8213,1,0.8071,5.62,3.015693737,0.641249751,11.5,10,6.25,0.017884047,37.80098195735066,-7.16532184094121,44.96630379829187,9C,9,70.12291814253174,58.948922628666494,-11.17399551386525,2514.324850426297,2113.670466050031,-400.65438437626614,ambient
2,2871,5530,3,2,2659,2.659,NA,15.1657,0.0793,0.1473,1.2656,2.5438,2,0.7916,2.2989,2.589298034,0.702573861,11,11.5,7,0.020257477,44.332204418314234,-11.09493503212617,55.42713945044041,12C,12,78.89154795988121,63.09970649237438,-15.791841467506817,2736.132414240945,2188.4366161844455,-547.6957980564988,ambient
3,2719,5447,2,2,2728,2.728,NA,6.8972,0.0576,0.0849,0.8587,2.1938,3,0.808,2.2626,0.901397525,0.371898877,10.5,9.5,5.75,0.015412683,25.404360973798987,-4.1636493881066,29.568010361905586,6C,6,79.50551128420209,68.30986202144135,-11.195649262760746,1918.4207163610376,1648.2763561541483,-270.14436020688936,ambient
4,2518,5329,2,4,2811,2.811,NA,14.0801,0.0451,0.1049,0.7968,2.5354,4,0.7917,2.2196,2.248781515,0.663533276,7,8.5,6.5,0.011284353,26.099140744690974,-3.161382004489642,29.260522749180616,6C,6,44.09804874530605,39.33358233670707,-4.76446640859899,2593.017317801084,2312.861069189432,-280.1562486116521,ambient
5,2730,5436,2,2,2706,2.706,NA,11.1601,0.079,0.0946,1.1191,2.162,5,0.7971,2.9933,1.769479658,0.562982361,8,11,7,0.015658137,37.21349564117092,-4.970225339032869,42.18372098020379,6C,6,74.92902780341956,66.10064225648257,-8.828385546937,2694.0446989449506,2376.6234540655078,-317.4212448794431,ambient
6,2231,5111,2,3,2880,2.88,NA,4.4917,0.058,0.0964,1.0135,1.3085,6,0.7987,1.4544,0.594507873,0.208154964,9.5,6.5,7,0.012279827,24.48798211199126,-2.747721173323372,27.235703285314635,6C,6,130.84340032993225,117.64303690586625,-13.200363424065985,2217.922392987673,1994.1634448100338,-223.75894817763898,ambient
7,2251,5162,1,1,2911,2.911,NA,10.7666,0.064,0.0802,0.9839,1.9227,7,0.7928,2.2988,1.500148765,0.510041213,11,6.75,4.75,0.01147827,31.690210626967275,-6.402079022572773,38.09228964954005,9C,9,74.6847287604189,62.132646968995566,-12.552081791423337,3318.6438069099304,2760.8873660375016,-557.7564408724287,ambient
8,2605,5365,1,1,2760,2.76,NA,23.5461,0.0535,0.1186,0.764,2.6266,8,0.8038,3.1785,5.303335847,0.788944361,9.75,6.5,7,0.012531045,40.55690689807108,-6.238848856772526,46.795755754843604,9C,9,59.314392836941266,51.40654893161861,-7.907843905322654,3734.3857399637145,3236.514344818894,-497.87139514482044,ambient
9,2938,5589,3,3,2651,2.651,NA,8.9906,0.0473,0.0828,1.053,1.7539,9,0.7938,2.5595,1.393463966,0.502658668,12,7,6.25,0.014508499,37.87662089719877,-5.1940829586323645,43.070703855831134,12C,12,85.6857875886289,75.35256687784556,-10.333220710783335,2968.653329047418,2610.6505502187906,-358.0027788286276,ambient
10,2914,5548,1,4,2634,2.634,NA,12.7664,0.0362,0.0782,0.9676,3.9512,10,0.7984,2.315,2.418722695,0.797968933,12.5,6.5,7,0.015341495,54.04767439818429,-8.192441968302102,62.24011636648639,9C,9,77.99816984414653,67.73155214826426,-10.26661769588228,4056.9785647674094,3522.9731129974157,-534.0054517699939,ambient
11,2233,5145,3,2,2912,2.912,NA,8.2747,0.0677,0.0909,1.0558,2.5833,11,0.798,2.2421,1.647115923,0.478671152,9.5,8.5,5.25,0.012563514,36.69828206995667,-7.834042887853142,44.53232495780981,12C,12,93.03323329961154,76.66700179574781,-16.366231503863727,3544.5755827398143,2921.020509863456,-623.5550728763579,ambient
12,2518,5329,3,1,2811,2.811,NA,10.1442,0.0625,0.0806,0.8911,2.1768,12,0.8002,2.1561,1.197392932,0.621515152,8.5,6.75,6.75,0.011284878,49.7114477306456,-9.629653831974787,59.34110156262039,12C,12,95.47812530662227,79.98428931406906,-15.493835992553224,5258.461949045473,4405.138250554911,-853.323698490563,ambient
13,2718,5404,4,4,2686,2.686,NA,12.3788,0.0605,0.0723,1.042,2.6221,13,0.8075,2.4316,4.086897779,0.745802846,11.5,10,5.75,0.017236225,79.11300133831007,-14.254454082390179,93.36745542070025,15C,15,125.19053248651755,106.07763400558285,-19.112898480934703,5416.931806164067,4589.926236070257,-827.0055700938099,ambient
14,2484,5298,4,3,2814,2.814,NA,7.4538,0.0405,0.0894,0.7933,1.8996,14,0.8086,1.89,1.476956667,0.581711905,10,8.25,7.75,0.015764334,63.62216877952614,-11.37717425019609,74.99934302972223,15C,15,128.9286713664941,109.37058057893131,-19.55809078756277,4757.533241158315,4035.8297901786486,-721.7034509796664,ambient
