chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2694,5416,1,1,2722,2.722,NA,15.041,0.0631,0.1137,1.006,3.8213,1,0.8071,5.62,3.015693737,0.641249751,11.5,10,6.25,0.017884047,47.591066564421226,-6.766351908794385,54.35741847321561,9C,9,84.76793696753515,74.21611702804579,-10.551819939489356,3039.4361227755444,2661.0904435903813,-378.3456791851635,enriched
2,2871,5530,3,2,2659,2.659,NA,15.1657,0.0793,0.1473,1.2656,2.5438,2,0.7916,2.2989,2.589298034,0.702573861,11,11.5,7,0.020257477,31.50607198955247,-6.980777495214979,38.48684948476745,6C,6,54.779791309041386,44.8437861674909,-9.93600514155049,1899.8836570204398,1555.2811433305574,-344.60251368988247,enriched
3,2719,5447,2,2,2728,2.728,NA,6.8972,0.0576,0.0849,0.8587,2.1938,3,0.808,2.2626,0.901397525,0.371898877,10.5,9.5,5.75,0.015412683,26.231431921362212,-8.185573215566379,34.417005136928594,6C,6,92.54398780270743,70.53377556007574,-22.010212242631695,2233.0314025746584,1701.9380675877271,-531.0933349869312,enriched
4,2518,5329,2,4,2811,2.811,NA,14.0801,0.0451,0.1049,0.7968,2.5354,4,0.7917,2.2196,2.248781515,0.663533276,7,8.5,6.5,0.011284353,80.29412170094943,-14.566989306584105,94.86111100753354,15C,15,142.96360776265504,121.00993967475029,-21.953668087904767,8406.428884982022,7115.527288179431,-1290.9015968025906,enriched
5,2730,5436,2,2,2706,2.706,NA,11.1601,0.079,0.0946,1.1191,2.162,5,0.7971,2.9933,1.769479658,0.562982361,8,11,7,0.015658137,34.1431289731829,-7.451273134143754,41.59440210732665,6C,6,73.8822474534449,60.64688938483971,-13.235358068605198,2656.4081095552206,2180.535843643653,-475.8722659115676,enriched
6,2231,5111,2,3,2880,2.88,NA,4.4917,0.058,0.0964,1.0135,1.3085,6,0.7987,1.4544,0.594507873,0.208154964,9.5,6.5,7,0.012279827,33.146524915505296,-7.68153422480885,40.828059140314146,12C,12,196.1426158461162,159.23965625679384,-36.90295958932236,3324.8073560249786,2699.266440439698,-625.5409155852806,enriched
7,2251,5162,1,1,2911,2.911,NA,10.7666,0.064,0.0802,0.9839,1.9227,7,0.7928,2.2988,1.500148765,0.510041213,11,6.75,4.75,0.01147827,32.526936910356824,-6.596740374479923,39.123677284836745,9C,9,76.70689404629884,63.77315417128227,-12.933739875016576,3408.4994763877085,2833.7839160741837,-574.7155603135249,enriched
8,2605,5365,1,1,2760,2.76,NA,23.5461,0.0535,0.1186,0.764,2.6266,8,0.8038,3.1785,5.303335847,0.788944361,9.75,6.5,7,0.012531045,42.614125876663216,-5.805856815750815,48.41998269241403,9C,9,61.373127290042234,54.01410794374537,-7.359019346296861,3864.0019800754076,3400.684131025243,-463.3178490501642,enriched
9,2938,5589,3,3,2651,2.651,NA,8.9906,0.0473,0.0828,1.053,1.7539,9,0.7938,2.5595,1.393463966,0.502658668,12,7,6.25,0.014508499,61.140752898839295,-12.4744737753848,73.61522667422409,12C,12,146.4517203436032,121.63473305276672,-24.81698729083649,5073.938156815815,4214.133584655401,-859.8045721604144,enriched
10,2914,5548,1,4,2634,2.634,NA,12.7664,0.0362,0.0782,0.9676,3.9512,10,0.7984,2.315,2.418722695,0.797968933,12.5,6.5,7,0.015341495,88.27491710007776,-15.49950943806655,103.77442653814431,15C,15,130.04820394197515,110.62450359840983,-19.423700343565315,6764.29686534098,5753.997058310012,-1010.2998070309673,enriched
11,2233,5145,3,2,2912,2.912,NA,8.2747,0.0677,0.0909,1.0558,2.5833,11,0.798,2.2421,1.647115923,0.478671152,9.5,8.5,5.25,0.012563514,19.046235211998916,-6.157780621794284,25.2040158337932,6C,6,52.654135785047686,39.78981213390298,-12.86432365114471,2006.1278901582155,1515.995860075367,-490.1320300828482,enriched
12,2518,5329,3,1,2811,2.811,NA,10.1442,0.0625,0.0806,0.8911,2.1768,12,0.8002,2.1561,1.197392932,0.621515152,8.5,6.75,6.75,0.011284878,30.36349861748215,-6.0333951227712745,36.396893740253425,9C,9,58.561554972763446,48.853995787189035,-9.707559185574409,3225.2802148373626,2690.6359658901188,-534.6442489472438,enriched
13,2718,5404,4,4,2686,2.686,NA,12.3788,0.0605,0.0723,1.042,2.6221,13,0.8075,2.4316,4.086897779,0.745802846,11.5,10,5.75,0.017236225,79.51917568395753,-13.76319263122185,93.28236831517938,15C,15,125.07644455298764,106.62224756910827,-18.45419698387937,5411.995278268842,4613.49139292145,-798.5038853473918,enriched
14,2484,5298,4,3,2814,2.814,NA,7.4538,0.0405,0.0894,0.7933,1.8996,14,0.8086,1.89,1.476956667,0.581711905,10,8.25,7.75,0.015764334,41.45283923685505,-9.640548423046717,51.093387659901765,12C,12,87.83280386861219,71.26008403911734,-16.572719829494837,3241.0749264702054,2629.5331751316007,-611.541751338605,enriched
15,2792,5469,4,3,2677,2.677,NA,7.3743,0.0438,0.1238,0.9375,1.8244,15,0.7923,1.6308,1.083897296,0.416918359,11.75,10,7,0.019206287,48.414025495184944,-11.594881920781663,60.008907415966604,12C,12,143.93443253470784,116.12351543191444,-27.81091710279341,3124.440836272342,2520.7384173309993,-603.7024189413427,enriched
16,2472,5298,4,4,2826,2.826,NA,6.6631,0.0372,0.1148,0.9094,3.104,16,0.7927,1.61,0.653894286,0.350950857,10,7.5,7.25,0.0142442,38.0862271385291,-9.613009780962487,47.69923691949158,15C,15,135.91429104129978,108.52296376791323,-27.391327273386562,3348.6778421737677,2673.805979874552,-674.8718622992156,enriched
