7530-426576
OS REV: 1.03 Sensor Cal: 1526022000 formatted column names to be compatible with R
Time_sec,  Bat_Volts,   T_deg_C,  PAR_umol_s_m_2,  Ax_g, Ay_g, Az_g
1606870920, +3.03, +18.714,  +9.33742,  +0.926,  -0.596,  +0.585
1606870925, +3.52, +15.872, +16.42404,  +1.193,  -0.088,  +0.310
1606870930, +3.52, +15.855, +21.59049,  +1.151,  -0.049,  +0.304
1606870935, +3.52, +15.872, +423.81165,  +1.208,  -0.205,  +0.444
1606870940, +3.52, +15.906, +397.65236,  +1.120,  -0.124,  +0.308
1606870945, +3.52, +15.932, +376.01747,  +1.103,  -0.100,  +0.344
1606870950, +3.52, +15.932, +394.07005,  +1.120,  -0.103,  +0.318
1606870955, +3.52, +15.940, +449.52989,  +1.096,  -0.089,  +0.384
1606870960, +3.52, +15.940, +447.45371,  +1.103,  -0.089,  +0.359
1606870965, +3.52, +15.932, +400.60162,  +1.119,  -0.105,  +0.320
1606870970, +3.52, +15.966, +407.24420,  +1.105,  -0.106,  +0.276
1606870975, +3.52, +15.898, +409.70741,  +1.107,  -0.104,  +0.252
1606870980, +3.52, +15.923, +406.62914,  +1.103,  -0.136,  +0.303
1606870985, +3.52, +15.906, +417.23807,  +1.112,  -0.109,  +0.294
1606870990, +3.52, +15.881, +409.03235,  +1.112,  -0.130,  +0.248
1606870995, +3.52, +15.838, +1001.01410,  +1.116,  -0.103,  +0.243
1606871000, +3.52, +15.821, +1202.45171,  +1.111,  -0.121,  +0.216
1606871005, +3.52, +15.787, +1104.09411,  +1.112,  -0.151,  +0.284
1606871010, +3.52, +15.752, +1073.88447,  +1.095,  -0.157,  +0.287
1606871015, +3.52, +15.693, +1072.29733,  +1.118,  -0.105,  +0.248
1606871020, +3.52, +15.693, +1076.25168,  +1.113,  -0.125,  +0.214
1606871025, +3.52, +15.641, +1081.02810,  +1.112,  -0.072,  +0.198
1606871030, +3.52, +15.581, +1147.93694,  +1.111,  -0.089,  +0.231
1606871035, +3.52, +15.530, +1055.47486,  +1.128,  -0.093,  +0.176
1606871040, +3.52, +15.513, +917.37279,  +1.104,  -0.100,  +0.216
1606871045, +3.52, +15.444, +1087.73368,  +1.107,  -0.119,  +0.232
1606871050, +3.51, +15.419, +1034.37102,  +1.112,  -0.079,  +0.227
1606871055, +3.51, +15.359, +1045.92503,  +1.113,  -0.073,  +0.198
1606871060, +3.52, +15.333, +1024.55416,  +1.112,  -0.089,  +0.239
1606871065, +3.51, +15.256, +1048.73027,  +1.107,  -0.141,  +0.240
1606871070, +3.51, +15.247, +984.19763,  +1.113,  -0.081,  +0.222
1606871075, +3.51, +15.187, +1049.91538,  +1.103,  -0.100,  +0.230
1606871080, +3.51, +15.110, +691.48304,  +1.103,  -0.101,  +0.252
1606871085, +3.51, +15.084, +667.85598,  +1.107,  -0.122,  +0.215
1606871090, +3.51, +15.041, +662.25149,  +1.103,  -0.128,  +0.241
1606871095, +3.51, +14.981, +653.57773,  +1.136,  -0.104,  +0.135
1606871100, +3.51, +14.912, +610.22094,  +1.105,  -0.096,  +0.224
1606871105, +3.52, +14.860, +567.41020,  +1.102,  -0.080,  +0.231
