7530-426576
OS REV: 1.03 Sensor Cal: 1526022000
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1595268000, +3.49, +25.994, +2489.28219,  +1.112,  -0.160,  +0.249
1595268005, +3.54, +25.886, +2384.89407,  +1.052,  -0.093,  +0.326
1595268010, +3.54, +25.902, +1810.54486,  +1.103,  -0.072,  +0.230
1595268015, +3.54, +25.911, +1771.14542,  +1.087,  -0.121,  +0.291
1595268020, +3.54, +25.894, +1842.67767,  +1.107,  -0.114,  +0.295
1595268025, +3.54, +25.886, +1863.16346,  +1.102,  -0.104,  +0.272
1595268030, +3.54, +25.877, +1645.71046,  +0.979,  -0.185,  +0.291
1595268035, +3.54, +25.844, +2140.32169,  +1.095,  -0.173,  +0.156
1595268040, +3.54, +25.836, +2120.10292,  +1.095,  -0.208,  +0.273
1595268045, +3.54, +25.819, +182.33854,  -0.272,  -0.648,  -1.010
1595268050, +3.54, +25.778, +152.47693,  -0.117,  -0.503,  -0.692
1595268055, +3.54, +25.753, +177.85015,  +0.359,  -1.013,  -0.441
1595268060, +3.54, +25.711, +175.20992,  +0.238,  -1.232,  +0.036
1595268065, +3.54, +25.686, +173.64678,  +0.192,  -1.303,  -0.081
1595268070, +3.53, +25.695, +177.01307,  +0.222,  -1.282,  -0.029
1595268075, +3.54, +25.670, +175.21292,  +0.238,  -1.225,  +0.049
1595268080, +3.54, +25.653, +175.02990,  +0.191,  -1.298,  -0.088
1595268085, +3.53, +25.653, +174.16882,  +0.208,  -1.282,  -0.047
1595268090, +3.53, +25.661, +178.04516,  +0.239,  -1.229,  +0.040
1595268095, +3.53, +25.637, +26.24689,  +1.014,  -0.680,  +0.652
1595268100, +3.53, +25.653, +28.57210,  +0.947,  -0.569,  +0.240
1595268105, +3.53, +25.587, +21.99852,  +0.736,  -0.369,  +0.916
1595268110, +3.53, +25.578,  -0.42844,  -0.740,  +1.046,  +0.332
1595268115, +3.53, +25.545,  -0.19142,  -0.729,  +1.020,  +0.360
1595268120, +3.53, +25.529,  -0.35343,  -0.727,  +1.063,  +0.304
1595268125, +3.53, +25.479,  +0.32163,  -0.724,  +1.027,  +0.359
1595268130, +3.53, +25.462,  +0.54065,  -0.724,  +1.064,  +0.297
1595268135, +3.53, +25.412,  -0.37743,  -0.720,  +1.035,  +0.348
1595268140, +3.53, +25.396,  -0.03540,  -0.720,  +1.068,  +0.289
1595268145, +3.53, +25.371,  -0.51244,  -1.017,  +0.696,  -0.052
1595268150, +3.53, +25.337,  -0.55745,  -1.025,  +0.732,  -0.113
