chamber,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
1,11.39231935,0.458918646,0.017601317,48.768636560348796,12.827346634852693,61.59598319520149,13C,13,134.21983118812193,106.26858809382261,27.95124309429932,3499.509905719072,2770.737926051147,728.7719796679246,ambient,0
2,5.515497173,0.340462788,0.013251864,33.39773086082248,9.381917001848747,42.779647862671226,10C,10,125.65146433175312,98.09509890056611,27.556365431186993,3228.1985283482554,2520.228917292124,707.9696110561312,ambient,0
3,4.473079105,0.252409186,0.016095306,53.15346432461887,15.520068092797786,68.67353241741665,16C,16,272.0722391514572,210.584508301607,61.48773084985023,4266.6807588135725,3302.420241318734,964.260517494839,ambient,0
4,17.1585816,0.568389011,0.013115778,35.2969623441904,12.691873067227064,47.98883541141746,7C,7,84.42956229394353,62.10000837646454,22.329553917478997,3658.863043535615,2691.183271338566,967.6797721970488,ambient,0
5,25.37968333,0.511435671,0.015746143,77.19376792563148,19.926373160281038,97.12014108591251,16C,16,189.89708108551645,150.9354397879523,38.961641297564164,6167.868606674822,4902.392155693713,1265.4764509811093,ambient,0
6,5.543601856,0.488730642,0.01104649,30.87023662449758,10.503768596631566,41.374005221129146,10C,10,84.65604909038862,63.16411121301778,21.491937877370837,3745.443595307572,2794.5742606472804,950.8693346602917,ambient,0
7,17.18577958,0.34035459,0.012567151,36.395701871586795,12.577429583079672,48.973131454666465,16C,16,143.8885588546535,106.93465856178638,36.95390029286713,3896.9159720183566,2896.0980791578613,1000.8178928604957,ambient,0
8,9.063153269,0.291694233,0.007748686,29.649056929790678,8.366461527417975,38.01551845720866,13C,13,130.32660284788233,101.6443027510615,28.682300096820818,4906.060002587362,3826.333513810042,1079.7264887773197,ambient,0
9,5.998774704,0.474573433,0.016131767,29.08478122202528,9.586126237660457,38.670907459685736,10C,10,81.48561375471209,61.28615552321759,20.199458231494507,2397.1898093795758,1802.950738256093,594.239071123483,ambient,0
10,18.80623723,0.746501428,0.021742777,57.08679053374124,19.958412334470182,77.04520286821142,16C,16,103.20837975438062,76.47244652523456,26.735933229146056,3543.4849406868043,2625.551949217031,917.9329914697732,ambient,0
11,18.25841019,0.388660576,0.016035587,45.782271295121596,11.054665494598408,56.836936789720006,10C,10,146.23797806989307,117.7949967714801,28.44298129841296,3544.4250833923325,2855.0418076445594,689.3832757477733,ambient,0
12,2.67553907,0.2816843,0.012325629,29.83923292114525,8.432743077781655,38.271975998926905,13C,13,135.86833202605507,105.93147335916574,29.936858666889336,3105.072852584392,2420.9095471837786,684.1633054006132,ambient,0
13,7.52181118,0.44317045,0.019878793,27.220251718096513,9.259417733769718,36.47966945186623,7C,7,82.31521179236168,61.421630702355074,20.893581090006606,1835.1048502726615,1369.3110903713577,465.7937599013038,ambient,0
14,8.519086821,0.332113755,0.010970153,45.66255236302215,10.186600079918637,55.84915244294079,13C,13,168.16272015876243,137.49069912211903,30.672021036643415,5091.009436508387,4162.43532455948,928.574111948907,ambient,0
15,4.442330531,0.43213332,0.014322191,19.259696724600115,8.801339865040976,28.06103658964109,7C,7,64.93606322613839,44.568876856337106,20.367186369801285,1959.2698204933233,1344.7451388268817,614.5246816664417,ambient,0
16,10.57256535,0.595661117,0.009807548,17.622759682540543,8.974502883629324,26.597262566169867,7C,7,44.65166821719851,29.585210750864814,15.066457466333704,2711.917654256688,1796.8568374623856,915.0608167943021,ambient,0
1,2.191080293,0.13755296,0.013676214,NA,7.7416308881715405,NA,7C,7,NA,NA,56.28109266548346,NA,NA,566.0653517246469,enriched,1
2,3.348289228,0.136935709,0.010499673,8.41416366530223,7.286501952567962,15.700665617870191,7C,7,114.65720470231905,61.446088290251815,53.21111641206723,1495.3480568271214,801.3738775771617,693.9741792499597,enriched,1
3,9.07882043,0.249483748,0.011526869,30.4450239962922,12.820772762694817,43.265796758987015,13C,13,173.42130341487018,122.03209323395366,51.38921018091654,3753.4734505082874,2641.222347221279,1112.2511032870086,enriched,1
4,9.403389057,0.319043557,0.012907686,38.7953065457292,12.987874779222997,51.783181324952196,16C,16,162.30756017101515,121.59877764191677,40.708782529098364,4011.8098104456676,3005.5973274938046,1006.2124829518627,enriched,1
5,4.830760768,0.145370116,0.010376843,7.07915879411074,6.151139047668357,13.230297841779098,7C,7,91.01112529743801,48.69748328542808,42.31364201200993,1274.9829444060297,682.2073721372425,592.7755722687871,enriched,1
6,4.614392898,0.287595677,0.012479205,24.2532525420041,10.432330223595374,34.68558276559947,10C,10,120.60536906331687,84.33107477482737,36.27429428848951,2779.470548452363,1943.493398978869,835.977149473494,enriched,1
7,9.855008475,0.290356723,0.011049785,32.37376651362,13.688728150897937,46.062494664517935,16C,16,158.64104742812495,111.4965280608295,47.144519367295445,4168.632662492341,2929.8096310127303,1238.8230314796115,enriched,1
8,4.218433451,0.215651577,0.009058575,32.9398843128699,13.427617679325985,46.36750199219588,16C,16,215.011189054258,152.74585408141903,62.26533497283901,5118.630909629372,3636.3207582726754,1482.3101513566965,enriched,1
9,7.729513035,0.267737175,0.013364443,37.1830322266328,15.236848017355749,52.419880243988544,13C,13,195.78857603165696,138.8788547075422,56.90972132411478,3922.3393181435654,2782.2358347918275,1140.1034833517379,enriched,1
10,6.28154391,0.416214563,0.01272603,32.8072404806286,14.877076516890382,47.684316997518984,13C,13,114.56667122317627,78.82290385074441,35.743767372431854,3746.990773832765,2577.9634717683834,1169.0273020643817,enriched,1
11,6.413072241,0.21964746,0.011202224,23.6981059953239,8.252272375186516,31.950378370510414,10C,10,145.46208897890472,107.89155492771872,37.57053405118601,2852.145999804183,2115.482246679222,736.6637531249612,enriched,1
12,3.297965803,0.282800453,0.013676774,26.0122327006708,10.752714094076083,36.764946794746884,10C,10,130.00313968643778,91.9808735266446,38.02226615979318,2688.130022090508,1901.9275086852208,786.2025134052872,enriched,1
13,6.343526809,0.340267885,0.008815914,36.2449344581484,14.093162466333093,50.33809692448149,16C,16,147.93666738335148,106.51882253933074,41.41784484402074,5709.912429327406,4111.30762597598,1598.604803351427,enriched,1
14,5.75923196,0.29381664,0.014676324,30.9689354146676,8.988995463548354,39.957930878215954,10C,10,135.99614670638107,105.40225160381522,30.593895102565853,2722.611662035804,2110.1288997617935,612.4827622740105,enriched,1
15,3.845243584,0.420846663,0.009975758,21.913367517111,9.345440300917156,31.258807818028153,7C,7,74.27600255922226,52.0697190774945,22.206283481727777,3133.4769566411046,2196.6618994878386,936.8150571532666,enriched,1
16,4.509857081,0.269557078,0.014190019,27.124540045134,12.345748484392187,39.47028852952619,13C,13,146.42645936949273,100.62633207922666,45.8001272902661,2781.552902045176,1911.5224613253865,870.0304407197896,enriched,1
