chamber,rock_SA_m2,total_DW_g,total_AFDW_g,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
1,0.01128029,0.5597238,0.212292099,22.262471798939522,3.9338219305636906,26.196293729503214,9.5C,9.5,123.39740316714854,104.86717076992828,18.530232397220257,2322.306760686402,1973.5726474177102,348.7341132686917,ambient,0
2,0.011245173,0.6470415,0.011624122,40.02252466282081,10.3182392183874,50.340763881208204,18.5C,18.5,4330.715376284609,3443.0578638817456,887.6575124028636,4476.655350807693,3559.0848324717463,917.5705183359473,ambient,0
3,0.018090417,1.9001655,0.714165281,35.09681215825935,5.595219786031259,40.692031944290605,9.5C,9.5,56.97845166501535,49.14382299446918,7.834628670546166,2249.3694835387487,1940.0775647271892,309.29191881155964,ambient,0
4,0.014537485,1.0441593,0.656097808,24.191498097965226,3.998642032062067,28.190140130027295,9.5C,9.5,42.966368407722676,36.87178619253248,6.094582215190189,1939.13459790516,1664.077252562271,275.0573453428889,ambient,0
5,0.011185008,0.632958,0.301716306,26.677639580267982,7.450128949705312,34.127768529973295,15.5C,15.5,113.1121117795115,88.4196148824253,24.692496897086205,3051.206447950086,2385.1247652454053,666.0816827046805,ambient,0
6,0.016220823,1.4850651,0.645456968,29.334492185953724,5.261362482686911,34.595854668640634,9.5C,9.5,53.599010288538146,45.44763421928652,8.151376069251624,2132.805139951323,1808.4465989150938,324.35854103622927,ambient,0
7,0.011743485,0.6982095,0.362604429,43.60744067942611,9.767516372255539,53.37495705168165,18.5C,18.5,147.19885578585044,120.2617430782295,26.93711270762095,4545.069632369066,3713.3304704205025,831.7391619485646,ambient,0
8,0.012242066,0.8310618,0.576903109,39.64794285511992,10.131704608276088,49.77964746339601,15.5C,15.5,86.2877087795275,68.72547961103105,17.562229168496454,4066.278311470957,3238.664360665914,827.6139508050429,ambient,0
9,0.015658137,1.7011146,0.930388062,48.552429124197786,12.521403719959316,61.0738328441571,18.5C,18.5,65.64339692071103,52.18513769386455,13.458259226846481,3900.453345385668,3100.779430158121,799.673915227547,ambient,0
10,0.012840422,0.9865461,0.305527025,52.64722563469709,10.674374420284883,63.32160005498197,18.5C,18.5,207.25367929394125,172.31610079238354,34.9375785015577,4931.426712843391,4100.11646304904,831.3102497943512,ambient,0
11,0.015127527,1.5178446,0.67855543,33.76191395066497,7.712422695702834,41.4743366463678,12.5C,12.5,61.12151611013975,49.75557258552182,11.36594352461793,2741.6468432922184,2231.8197779891566,509.82706530306206,ambient,0
12,0.015123725,1.5408456,0.538381121,52.87415333497563,13.564956448037934,66.43910978301356,15.5C,15.5,123.40534835175538,98.20952346316696,25.19582488858842,4393.038737679611,3496.1065038524325,896.9322338271778,ambient,0
13,0.012319978,0.745749,0.392,31.134422494304214,6.730509641656259,37.86493213596047,12.5C,12.5,96.59421463255222,79.42454717934748,17.16966745320474,3073.4577720804755,2527.149195745659,546.3085763348164,ambient,0
14,0.018210413,1.3221762,0.313910419,58.90357355034622,15.44522394482348,74.3487974951697,15.5C,15.5,236.84717994393714,187.6445316405577,49.20264830337945,4082.76283987462,3234.6094265048364,848.1534133697835,ambient,0
15,0.013958869,0.5124426,0.10073847,35.59023164547282,7.253711336913824,42.84394298238664,12.5C,12.5,425.298726319614,353.2933510452642,72.00537527434975,3069.29902289266,2549.6500931037335,519.6489297889266,ambient,0
