chamber,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
1,3.015693737,0.641249751,0.017884047,37.80098195735066,7.16532184094121,44.96630379829187,9C,9,70.12291814253174,58.948922628666494,11.17399551386525,2514.324850426297,2113.670466050031,400.65438437626614,ambient,0
2,2.589298034,0.702573861,0.020257477,44.332204418314234,11.09493503212617,55.42713945044041,12C,12,78.89154795988121,63.09970649237438,15.791841467506817,2736.132414240945,2188.4366161844455,547.6957980564988,ambient,0
3,0.901397525,0.371898877,0.015412683,25.404360973798987,4.1636493881066,29.568010361905586,6C,6,79.50551128420209,68.30986202144135,11.195649262760746,1918.4207163610376,1648.2763561541483,270.14436020688936,ambient,0
4,2.248781515,0.663533276,0.011284353,26.099140744690974,3.161382004489642,29.260522749180616,6C,6,44.09804874530605,39.33358233670707,4.76446640859899,2593.017317801084,2312.861069189432,280.1562486116521,ambient,0
5,1.769479658,0.562982361,0.015658137,37.21349564117092,4.970225339032869,42.18372098020379,6C,6,74.92902780341956,66.10064225648257,8.828385546937,2694.0446989449506,2376.6234540655078,317.4212448794431,ambient,0
6,0.594507873,0.208154964,0.012279827,24.48798211199126,2.747721173323372,27.235703285314635,6C,6,130.84340032993225,117.64303690586625,13.200363424065985,2217.922392987673,1994.1634448100338,223.75894817763898,ambient,0
7,1.500148765,0.510041213,0.01147827,31.690210626967275,6.402079022572773,38.09228964954005,9C,9,74.6847287604189,62.132646968995566,12.552081791423337,3318.6438069099304,2760.8873660375016,557.7564408724287,ambient,0
8,5.303335847,0.788944361,0.012531045,40.55690689807108,6.238848856772526,46.795755754843604,9C,9,59.314392836941266,51.40654893161861,7.907843905322654,3734.3857399637145,3236.514344818894,497.87139514482044,ambient,0
9,1.393463966,0.502658668,0.014508499,37.87662089719877,5.1940829586323645,43.070703855831134,12C,12,85.6857875886289,75.35256687784556,10.333220710783335,2968.653329047418,2610.6505502187906,358.0027788286276,ambient,0
10,2.418722695,0.797968933,0.015341495,54.04767439818429,8.192441968302102,62.24011636648639,9C,9,77.99816984414653,67.73155214826426,10.26661769588228,4056.9785647674094,3522.9731129974157,534.0054517699939,ambient,0
11,1.647115923,0.478671152,0.012563514,36.69828206995667,7.834042887853142,44.53232495780981,12C,12,93.03323329961154,76.66700179574781,16.366231503863727,3544.5755827398143,2921.020509863456,623.5550728763579,ambient,0
12,1.197392932,0.621515152,0.011284878,49.7114477306456,9.629653831974787,59.34110156262039,12C,12,95.47812530662227,79.98428931406906,15.493835992553224,5258.461949045473,4405.138250554911,853.323698490563,ambient,0
13,4.086897779,0.745802846,0.017236225,79.11300133831007,14.254454082390179,93.36745542070025,15C,15,125.19053248651755,106.07763400558285,19.112898480934703,5416.931806164067,4589.926236070257,827.0055700938099,ambient,0
