*minimum sample weight: 1g,,,,,, ,,,,,
experiment_date,chamber,tin_ID,tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_wet_wt_g,total_AFDW_g,total_DW_g
3/15/2021,1,1,0.799,1.5065,1.6707,1.6399,0.8717,0.8409,51.557,1.054069432,29.83221832
3/15/2021,2,2,0.7815,1.0428,1.3017,1.2798,0.5202,0.4983,14.94,0.313757192,7.452807825
3/15/2021,3,3,0.8048,1.2291,1.5154,1.486,0.7106,0.6812,38.888,0.930198682,22.48296542
3/15/2021,4,4,0.8079,1.402,1.5084,1.4774,0.7005,0.6695,43.745,0.967257489,21.85689907
3/15/2021,5,5,0.7996,1.3567,1.5998,1.564,0.8002,0.7644,25.386,0.669874549,14.97300597
3/15/2021,6,6,0.8033,1.4555,1.6466,1.6152,0.8433,0.8119,33.571,0.724238681,19.45065222
3/15/2021,7,7,0.7973,1.864,1.8964,1.8531,1.0991,1.0558,31.264,0.726250644,18.43469013
3/15/2021,8,8,0.8057,1.1682,1.4144,1.3416,0.6087,0.5359,27.413,1.708325972,14.283764
3/15/2021,9,9,0.805,1.1726,1.4904,1.4642,0.6854,0.6592,25.224,0.5635927,14.74375712
3/15/2021,10,10,0.8099,1.6646,1.7164,1.6737,0.9065,0.8638,28.836,0.739695542,15.70337258
3/15/2021,11,11,0.8065,1.2513,1.4279,1.3988,0.6214,0.5923,31.54,0.733488372,15.66287541
3/15/2021,12,12,0.7902,1.9074,1.9017,1.8611,1.1115,1.0709,34.597,0.73641512,20.16072428
3/15/2021,13,13,0.7976,1.238,1.5408,1.5187,0.7432,0.7211,24.786,0.442464136,14.8796084
3/15/2021,14,14,0.793,1.0891,1.3759,1.3417,0.5829,0.5487,10.127,0.318008815,5.420097604
3/15/2021,15,15,0.7977,1.173,1.3836,1.35,0.5859,0.5523,23.745,0.680163683,11.86035422
3/15/2021,16,16,0.7864,1.305,1.3378,1.308,0.5514,0.5216,43.672,0.997260996,18.45267494
4/7/2021,1,1,0.8,1.181,1.1763,1.1367,0.3763,0.3367,30.4,1.019339543,9.686299746
4/7/2021,2,2,0.7996,1.1625,1.1721,1.1369,0.3725,0.3373,22.774,0.689586925,7.297475269
4/7/2021,3,3,0.7954,1.2202,1.297,1.2425,0.5016,0.4471,12.935,0.577739305,5.317321751
4/7/2021,4,4,0.8158,1.4389,1.4445,1.4026,0.6287,0.5868,42.414,1.235073042,18.53199097
