"Changes to original data: made ""Sample"" data column name lower case, replaced spaces in column names with underscores, removed parentheses from column names, Sample column edits: removed special characters from sample column, removed ""TPI"", added values to the resulting column ""sample_2"", made column of just chamber numbers from sample_2 column buy removing all letters and underscores except for ambient nutrients samples",,,,,,,,
date,sample,ml_filtered,ug_P_per_liter_ppb,grams_periphyton,ug_P_per_gram_periphyton,comments,sample_2,chamber
3/1/2021,"TPI, TC-0.5",250,1.220825853,,,,TC_0.5,TC_0.5
3/1/2021,"TPI, TC-A-1",5,2502.692998,,,,TC_A_1,1
3/1/2021,"TPI, TC-A-1",5,4194.321963,,,,TC_A_1,1
3/1/2021,"TPI, TC-A-2",4,5791.878516,,,,TC_A_2,2
3/1/2021,"TPI, TC-A-3",5,2524.663076,,,,TC_A_3,3
3/1/2021,"TPI, TC-A-4",5,2997.433872,,,,TC_A_4,4
3/1/2021,"TPI, TC-A-5",5,2985.464991,,,,TC_A_5,5
3/1/2021,"TPI, TC-A-6",5,4858.594853,,,,TC_A_6,6
3/1/2021,"TPI, TC-A-6",5,5620.647516,,,,TC_A_6,6
3/1/2021,"TPI, TC-A-7",5,5786.183124,,,,TC_A_7,7
3/1/2021,"TPI, TC-A-7",5,7763.077199,,,,TC_A_7,7
3/1/2021,"TPI, TC-A-7",10,3695.006583,,,,TC_A_7,7
3/1/2021,"TPI, TC-A-7",10,4174.776182,,,,TC_A_7,7
3/1/2021,"TPI, TC-A-8",7,3312.264683,,,,TC_A_8,8
3/1/2021,"TPI, TC-A-8",7,3809.56741,,,,TC_A_8,8
3/1/2021,"TPI, TC-A-9",5,4834.657092,,,,TC_A_9,9
3/1/2021,"TPI, TC-A-9",5,5512.927588,,,,TC_A_9,9
3/1/2021,"TPI, TC-A-10",5,6252.969479,,,,TC_A_10,10
3/1/2021,"TPI, TC-A-10",5,6985.09994,,,,TC_A_10,10
3/1/2021,"TPI, TC-A-14 & 15",10,2973.49611,,,filter 14 and filter 15 were accidentaly put in the same vial (10ml filtered reflects 6ml + 4ml). 20 mL volume rehydrated sample.,TC_A_14_and_15,14_and_15
3/1/2021,"TPI, TC-A-17",4,5160.616397,,,,TC_A_17,17
3/1/2021,"TPI, TC-A-18",5,3260.749252,,,,TC_A_18,18
3/1/2021,"TPI, TC-A-19",9,2449.867677,,,,TC_A_19,19
3/1/2021,"TPI, TC-A-20",8,2782.283064,,,,TC_A_20,20
3/15/2021,"TPI, TC-E-1",,,0.1744,105.0536953,,TC_E_1,1
3/15/2021,"TPI, TC-E-1",,,0.1744,243.4679009,,TC_E_1,1
3/15/2021,"TPI, TC-E-2",,,0.507,54.47611358,,TC_E_2,2
3/15/2021,"TPI, TC-E-3",,,0.0932,401.0088791,,TC_E_3,3
