NO3_N_py,NH4_N,SRP,DP,bulk_NO3_N_py,bulk_NH4_N,bulk_SRP,bulk_DP,NO3_rate,NH4_rate,SRP_rate,DP_rate,rock_ID
386.48,290.87,542.7,548.17,534.89,571.52,823.85,822.82,6.0181633178137455,11.380618119698322,11.400893584012767,11.13731254792498,17
468.1,315.96,574.77,568.54,534.89,571.52,823.85,822.82,10.158206978072073,38.86856378673604,37.883009344186156,38.67388636598545,18
430.45,285.34,530.78,526.52,534.89,571.52,823.85,822.82,4.898272749504809,13.421942698710135,13.745086123107765,13.89657425965411,19
337.13,166.24,379.83,377.52,534.89,571.52,823.85,822.82,9.198207342227468,18.850371519305966,20.652245267474925,20.711780590078337,20
442.36,347.79,611.43,616.93,534.89,571.52,823.85,822.82,6.219463803554036,15.038156671016367,14.277947705078883,13.839029531111438,21
411.37,274.7,530.78,531.61,534.89,571.52,823.85,822.82,7.257074217498311,17.43883394784528,17.218513122751222,17.109233993504564,22
415.52,337.58,596.76,595.28,534.89,571.52,823.85,822.82,6.87639497954958,13.47628249573451,13.081683303224548,13.107605877914986,23
447.45,376.79,644.41,639.86,534.89,571.52,823.85,822.82,2.193741081451726,4.885489487546827,4.501885860655282,4.590197486990026,24
472.93,379.26,647.16,641.13,534.89,571.52,823.85,822.82,5.1693209046644295,16.040245918831236,14.741241295112308,15.158391142163989,25
404.56,247.05,467.55,466.66,534.89,571.52,823.85,822.82,7.451238024118261,18.550626883186162,20.37041439417891,20.362410302079034,26
394.36,278.1,494.13,494.68,534.89,571.52,823.85,822.82,8.564886351523178,17.883078013690533,20.095455260970773,19.999158951034058,27
394.36,262.79,494.13,495.95,534.89,571.52,823.85,822.82,10.296296682590855,22.61990802544848,24.157795077092846,23.948982399761434,28
408.05,231.32,480.38,476.85,534.89,571.52,823.85,822.82,12.486628889377178,33.490627153627536,33.81253882556276,34.05864866649183,29
428.37,286.61,537.2,534.16,534.89,571.52,823.85,822.82,15.84450273168677,42.37943365832593,42.63825298571173,42.9372339328643,30
419.66,383.59,639.83,636.04,534.89,571.52,823.85,822.82,8.373090096272541,13.655773859172953,13.37165702955891,13.572210085757064,31
281.96,41.61,196.81,196.69,534.89,571.52,823.85,822.82,10.997783049012082,23.04129686277623,27.264657743456826,27.225089552358106,32
5.45,0.29,24.02,30.47,45.19,45.31,67.91,76.01,6.699265437448318,7.5893540511807585,7.398861601650899,7.677014293442287,49
0.38,9.17,14.42,23.61,45.19,45.31,67.91,76.01,6.761552519925607,5.453303014285013,8.071310963865672,7.90683668922343,50
0.38,0.29,17.17,25.79,45.19,45.31,67.91,76.01,4.8002566065791195,4.8227527879534025,5.435505918719582,5.3798010886499315,51
0.6,0.71,5.53,14.87,45.19,45.31,67.91,76.01,2.197230562667058,2.197723325744579,3.073856077577284,3.0127534559646545,52
0.6,0.29,24.48,30.78,45.19,45.31,67.91,76.01,8.403653979427276,8.484693925853689,8.185034589067651,8.524271574108448,53
0.82,0.71,15.34,23.3,45.19,45.31,67.91,76.01,4.102184475295818,4.123448897863274,4.860307366831218,4.873250928394019,54
0.6,-0.11,10.31,16.12,45.19,45.31,67.91,76.01,2.7526466019487623,2.8038844732117694,3.55578480090264,3.697151939688526,55
1.48,5.57,13.51,23.92,45.19,45.31,67.91,76.01,5.3828300744124125,4.8939296993170736,6.69928977460616,6.414816256603583,56
0.6,0.08,9.85,17.06,45.19,45.31,67.91,76.01,3.6072662049609665,3.659041274958164,4.6969696313082245,4.768969338023076,57
1.04,0.08,8.48,24.54,45.19,45.31,67.91,76.01,2.7510098506130523,2.818305221817177,3.703114732093628,3.2071229221076742,58
0.82,0.71,5.53,16.12,45.19,45.31,67.91,76.01,6.191047733690472,6.223140160527272,8.704024287302493,8.356588883721487,59
1.26,5.66,21.74,36.4,45.19,45.31,67.91,76.01,1.6436268988933869,1.483492067860751,1.727435782424486,1.4819954806548388,60
1.92,2.44,4.16,12.07,45.19,45.31,67.91,76.01,3.6203607456383926,3.586893116836559,5.333903340292293,5.349800463973165,61
1.04,1.79,2.55,11.13,45.19,45.31,67.91,76.01,4.236455156856041,4.176002908864665,6.271680839232409,6.2256219836199325,62
1.04,1.79,15.8,27.04,45.19,45.31,67.91,76.01,2.5448490200488965,2.5085352061727746,3.0036711763249833,2.8226785166884367,63
0.38,0.29,19,29.85,45.19,45.31,67.91,76.01,3.8115919531066513,3.829454803143528,4.1603428347789855,3.926424560486567,64
368.96,195.22,113.31,120.12,374.8,395.58,315.47,328.53,3.2191090034067145,110.4418972470147,111.4340883782017,114.87919647260095,65
364.99,203.72,144.22,153.99,374.8,395.58,315.47,328.53,4.098110893165762,80.14919021027347,71.53939759986102,72.91378953039263,66
229.14,37.59,58.81,69.95,374.8,395.58,315.47,328.53,12.837615190567213,31.551131828032105,22.620501955313614,22.78971945610922,67
349.1,106.42,64.99,74.97,374.8,395.58,315.47,328.53,3.5437406130626776,39.87190800284841,34.53837154707937,34.96306886568765,68
281.57,134.46,135.98,148.97,374.8,395.58,315.47,328.53,9.750093590039377,27.308210213783994,18.771257089736864,18.778577764962673,69
361.81,211.8,168.96,182.21,374.8,395.58,315.47,328.53,4.749344223784671,67.19280072726296,53.56631425917565,53.49684733057524,70
375.29,173.07,137.58,145.21,374.8,395.58,315.47,328.53,-0.19971898810947822,90.69280009028401,72.50614447917228,74.71935693924256,71
346.71,169.31,81.25,91.27,374.8,395.58,315.47,328.53,4.927008728990887,39.68794108610775,41.08237751884103,41.61559597865349,72
363.4,201.17,176.28,186.6,374.8,395.58,315.47,328.53,4.314164404512701,73.57164051590452,52.6744336372036,53.71134683618295,73
312.55,127.24,125.22,137.68,374.8,395.58,315.47,328.53,25.79741310990221,111.20446319535996,78.84269629170916,79.09134605662386,74
368.16,204.57,147.2,159.63,374.8,395.58,315.47,328.53,2.1576521585553365,62.068243796032476,54.67893504820893,54.88365204518028,75
367.37,176.53,100.03,111.97,374.8,395.58,315.47,328.53,2.446648966153647,72.13168991062662,70.94294122047663,71.31174967836247,76
368.16,185.03,104.38,115.73,374.8,395.58,315.47,328.53,1.5256659031440054,48.377854805266715,48.50193004437783,48.89483496822966,77
349.1,176.1,97.51,108.84,374.8,395.58,315.47,328.53,4.368171352521124,37.30452328604422,37.04617229554492,37.34021651499478,78
360.22,210.95,149.49,157.13,374.8,395.58,315.47,328.53,4.350862515181615,55.096004538956265,49.530600841553174,51.14799966406923,79
357.84,235.59,194.47,204.16,374.8,395.58,315.47,328.53,6.606173815976505,62.318499340688604,47.13131083332285,48.44397626727571,80
366.51,185.79,92.12,94.72,387.33,416.94,320.3,323.82,3.210633891512871,35.645438233583114,35.18743714531254,35.32930953629198,81
368.25,161.28,85.29,88.81,387.33,416.94,320.3,323.82,2.597713264187906,34.807723958190806,31.99625755853251,31.99625755853251,82
362.18,131.73,105.54,109.34,387.33,416.94,320.3,323.82,3.688932429688768,41.83381384777474,31.500402727632625,31.459333102172874,83
371.72,182.94,101.68,105.3,387.33,416.94,320.3,323.82,3.589738463049787,53.811582341681785,50.274735604865256,50.251739202155136,84
400.34,134.79,76.42,80.11,387.33,416.94,320.3,323.82,-1.5457478100058573,33.52288582576117,28.975939731301207,28.955741643084373,85
402.94,120.79,63.68,67.97,387.33,416.94,320.3,323.82,-3.7647242379642294,71.42364401493309,61.8900406115554,61.70433672537779,86
391.66,135.67,89.84,92.55,387.33,416.94,320.3,323.82,-0.5017307381708455,32.591640814159895,26.704126078256802,26.79798332950816,87
